date,kota,month,month_sin,month_cos,ihk_kel_01_mtm,ihk_kel_03_mtm,ihk_kel_06_mtm,gt_harga_beras,gt_harga_cabai,gt_harga_telur,gt_harga_daging_ayam,gt_harga_minyak_goreng,gt_harga_bawang,gt_tiket_pesawat,gt_tiket_kereta,gt_harga_bensin,kurs_usd_idr,bi_rate_percent,harga_bbm_pertamax,oceanic_nino_index,is_ramadan,is_lebaran,pre_lebaran_1m,is_dry_season,is_rainy_season,is_el_nino,is_la_nina,bbm_price_hike_event,bi_rate_hike_event,ihk_umum_mtm_lag1,ihk_umum_mtm_lag2,ihk_umum_mtm_lag3,inflasi_general_mtm_lag1,inflasi_general_mtm_lag2,inflasi_general_mtm_lag3,inflasi_core_mtm_lag1,inflasi_core_mtm_lag2,inflasi_core_mtm_lag3,inflasi_administered_price_mtm_lag1,inflasi_administered_price_mtm_lag2,inflasi_administered_price_mtm_lag3,inflasi_volatile_good_mtm_lag1,inflasi_volatile_good_mtm_lag2,inflasi_volatile_good_mtm_lag3,gt_harga_beras_lag1,gt_harga_beras_lag2,gt_harga_beras_lag3,gt_harga_cabai_lag1,gt_harga_cabai_lag2,gt_harga_cabai_lag3,gt_harga_telur_lag1,gt_harga_telur_lag2,gt_harga_telur_lag3,gt_harga_daging_ayam_lag1,gt_harga_daging_ayam_lag2,gt_harga_daging_ayam_lag3,gt_harga_minyak_goreng_lag1,gt_harga_minyak_goreng_lag2,gt_harga_minyak_goreng_lag3,gt_harga_bawang_lag1,gt_harga_bawang_lag2,gt_harga_bawang_lag3,gt_tiket_pesawat_lag1,gt_tiket_pesawat_lag2,gt_tiket_pesawat_lag3,gt_tiket_kereta_lag1,gt_tiket_kereta_lag2,gt_tiket_kereta_lag3,gt_harga_bensin_lag1,gt_harga_bensin_lag2,gt_harga_bensin_lag3,kurs_usd_idr_lag1,kurs_usd_idr_lag2,kurs_usd_idr_lag3,bi_rate_percent_lag1,bi_rate_percent_lag2,bi_rate_percent_lag3,harga_bbm_pertamax_lag1,harga_bbm_pertamax_lag2,harga_bbm_pertamax_lag3,oceanic_nino_index_lag1,oceanic_nino_index_lag2,oceanic_nino_index_lag3,ihk_umum_mtm_roll_mean_3,ihk_umum_mtm_roll_std_3,ihk_umum_mtm_roll_mean_6,ihk_umum_mtm_roll_std_6,inflasi_general_mtm_roll_mean_3,inflasi_general_mtm_roll_std_3,inflasi_general_mtm_roll_mean_6,inflasi_general_mtm_roll_std_6,inflasi_core_mtm_roll_mean_3,inflasi_core_mtm_roll_std_3,inflasi_core_mtm_roll_mean_6,inflasi_core_mtm_roll_std_6,inflasi_administered_price_mtm_roll_mean_3,inflasi_administered_price_mtm_roll_std_3,inflasi_administered_price_mtm_roll_mean_6,inflasi_administered_price_mtm_roll_std_6,inflasi_volatile_good_mtm_roll_mean_3,inflasi_volatile_good_mtm_roll_std_3,inflasi_volatile_good_mtm_roll_mean_6,inflasi_volatile_good_mtm_roll_std_6,gt_harga_beras_diff1,gt_harga_beras_pct_change,gt_harga_cabai_diff1,gt_harga_cabai_pct_change,gt_harga_telur_diff1,gt_harga_telur_pct_change,gt_harga_daging_ayam_diff1,gt_harga_daging_ayam_pct_change,gt_harga_minyak_goreng_diff1,gt_harga_minyak_goreng_pct_change,gt_harga_bawang_diff1,gt_harga_bawang_pct_change,gt_tiket_pesawat_diff1,gt_tiket_pesawat_pct_change,gt_tiket_kereta_diff1,gt_tiket_kereta_pct_change,gt_harga_bensin_diff1,gt_harga_bensin_pct_change,gt_harga_beras_lag1_diff1,gt_harga_beras_lag1_pct_change,gt_harga_beras_lag2_diff1,gt_harga_beras_lag2_pct_change,gt_harga_beras_lag3_diff1,gt_harga_beras_lag3_pct_change,gt_harga_cabai_lag1_diff1,gt_harga_cabai_lag1_pct_change,gt_harga_cabai_lag2_diff1,gt_harga_cabai_lag2_pct_change,gt_harga_cabai_lag3_diff1,gt_harga_cabai_lag3_pct_change,gt_harga_telur_lag1_diff1,gt_harga_telur_lag1_pct_change,gt_harga_telur_lag2_diff1,gt_harga_telur_lag2_pct_change,gt_harga_telur_lag3_diff1,gt_harga_telur_lag3_pct_change,gt_harga_daging_ayam_lag1_diff1,gt_harga_daging_ayam_lag1_pct_change,gt_harga_daging_ayam_lag2_diff1,gt_harga_daging_ayam_lag2_pct_change,gt_harga_daging_ayam_lag3_diff1,gt_harga_daging_ayam_lag3_pct_change,gt_harga_minyak_goreng_lag1_diff1,gt_harga_minyak_goreng_lag1_pct_change,gt_harga_minyak_goreng_lag2_diff1,gt_harga_minyak_goreng_lag2_pct_change,gt_harga_minyak_goreng_lag3_diff1,gt_harga_minyak_goreng_lag3_pct_change,gt_harga_bawang_lag1_diff1,gt_harga_bawang_lag1_pct_change,gt_harga_bawang_lag2_diff1,gt_harga_bawang_lag2_pct_change,gt_harga_bawang_lag3_diff1,gt_harga_bawang_lag3_pct_change,gt_tiket_pesawat_lag1_diff1,gt_tiket_pesawat_lag1_pct_change,gt_tiket_pesawat_lag2_diff1,gt_tiket_pesawat_lag2_pct_change,gt_tiket_pesawat_lag3_diff1,gt_tiket_pesawat_lag3_pct_change,gt_tiket_kereta_lag1_diff1,gt_tiket_kereta_lag1_pct_change,gt_tiket_kereta_lag2_diff1,gt_tiket_kereta_lag2_pct_change,gt_tiket_kereta_lag3_diff1,gt_tiket_kereta_lag3_pct_change,gt_harga_bensin_lag1_diff1,gt_harga_bensin_lag1_pct_change,gt_harga_bensin_lag2_diff1,gt_harga_bensin_lag2_pct_change,gt_harga_bensin_lag3_diff1,gt_harga_bensin_lag3_pct_change,kota_jakarta,kota_makassar,kota_medan,kota_surabaya,ihk_umum_mtm,inflasi_general_mtm,inflasi_core_mtm,inflasi_administered_price_mtm,inflasi_volatile_good_mtm
2020-02-01,bandung,2,0.866025404,0.5,1.28,0.05,-0.72,51,42,76,43,13,67,87.0,98.0,32.0,13707.272,4.75,9000,0.6,0,0,0.0,0,1,1,0,0,0,0.32,0.32,0.32,0.39,0.39,0.39,0.19,0.19,0.19,-0.28,-0.28,-0.28,1.93,1.93,1.93,37.0,37.0,37.0,35.0,35.0,35.0,54.0,54.0,54.0,43.0,43.0,43.0,10.0,10.0,10.0,47.0,47.0,47.0,100.0,100.0,100.0,79.0,79.0,79.0,36.0,36.0,36.0,13663.56727,13663.56727,13663.56727,5.0,5.0,5.0,9200.0,9200.0,9200.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,14.0,0.378378378,7.0,0.2,22.0,0.407407407,0.0,0.0,3.0,0.3,20.0,0.425531915,-13.0,-0.13,21.0,0.265822785,-4.0,-0.111111111,14.0,0.378378378,14.0,0.378378378,14.0,0.378378378,7.0,0.2,7.0,0.2,7.0,0.2,22.0,0.407407407,22.0,0.407407407,22.0,0.407407407,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,3.0,0.3,3.0,0.3,20.0,0.425531915,20.0,0.425531915,20.0,0.425531915,-13.0,-0.13,-13.0,-0.13,-13.0,-0.13,21.0,0.265822785,21.0,0.265822785,21.0,0.265822785,-4.0,-0.111111111,-4.0,-0.111111111,-4.0,-0.111111111,0,0,0,0,0.32,0.28,0.14,-0.11,1.27
2020-03-01,bandung,3,1.0,6.12e-17,0.95,0.0,-0.6,57,34,65,43,12,66,79.0,54.0,29.0,15118.60095,4.5,9000,0.5,0,0,0.0,0,0,1,0,0,0,0.32,0.32,0.32,0.28,0.39,0.39,0.14,0.19,0.19,-0.11,-0.28,-0.28,1.27,1.93,1.93,51.0,37.0,37.0,42.0,35.0,35.0,76.0,54.0,54.0,43.0,43.0,43.0,13.0,10.0,10.0,67.0,47.0,47.0,87.0,100.0,100.0,100.0,79.0,79.0,32.0,36.0,36.0,13707.272,13663.56727,13663.56727,4.75,5.0,5.0,9000.0,9200.0,9200.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,6.0,0.117647059,-8.0,-0.19047619,-11.0,-0.144736842,0.0,0.0,-1.0,-0.076923077,-1.0,-0.014925373,-8.0,-0.091954023,-40.31,-0.46,-3.0,-0.09375,14.0,0.378378378,14.0,0.378378378,14.0,0.378378378,7.0,0.2,7.0,0.2,7.0,0.2,22.0,0.407407407,22.0,0.407407407,22.0,0.407407407,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,3.0,0.3,3.0,0.3,20.0,0.425531915,20.0,0.425531915,20.0,0.425531915,-13.0,-0.13,-13.0,-0.13,-13.0,-0.13,21.0,0.265822785,21.0,0.265822785,21.0,0.265822785,-4.0,-0.111111111,-4.0,-0.111111111,-4.0,-0.111111111,0,0,0,0,0.01,0.1,0.29,-0.19,-0.38
2020-04-01,bandung,4,0.866025404,-0.5,0.41,0.0,-0.38,87,50,89,100,22,100,39.0,19.0,26.0,15788.09476,4.5,9000,0.3,1,0,1.0,0,0,0,0,0,0,0.01,0.32,0.32,0.1,0.28,0.39,0.29,0.14,0.19,-0.19,-0.11,-0.28,-0.38,1.27,1.93,57.0,51.0,37.0,34.0,42.0,35.0,65.0,76.0,54.0,43.0,43.0,43.0,12.0,13.0,10.0,66.0,67.0,47.0,79.0,87.0,100.0,54.0,100.0,79.0,29.0,32.0,36.0,15118.60095,13707.272,13663.56727,4.5,4.75,5.0,9000.0,9000.0,9200.0,0.5,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.153333333,0.110151411,0.183333333,0.128478273,0.2,0.079372539,0.145,0.096488341,-0.146666667,0.040414519,0.028333333,0.357402667,0.266666667,0.880927541,0.5,0.983178519,30.0,0.526315789,16.0,0.470588235,24.0,0.369230769,57.0,1.090909091,10.0,0.833333333,34.0,0.515151515,-40.0,-0.506329114,-35.0,-0.648148148,-3.0,-0.103448276,6.0,0.117647059,14.0,0.378378378,14.0,0.378378378,-8.0,-0.19047619,7.0,0.2,7.0,0.2,-11.0,-0.144736842,22.0,0.407407407,22.0,0.407407407,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.076923077,3.0,0.3,3.0,0.3,-1.0,-0.014925373,20.0,0.425531915,20.0,0.425531915,-8.0,-0.091954023,-13.0,-0.13,-13.0,-0.13,-40.31,-0.46,21.0,0.265822785,21.0,0.265822785,-3.0,-0.09375,-4.0,-0.111111111,-4.0,-0.111111111,0,0,0,0,-0.16,0.08,0.17,-0.14,-0.09
2020-05-01,bandung,5,0.5,-0.866025404,-0.97,0.0,0.12,78,42,99,79,19,86,40.0,16.0,27.0,14831.66,4.5,9000,0.0,1,1,0.0,0,0,0,0,0,0,-0.16,0.01,0.32,0.08,0.1,0.28,0.17,0.29,0.14,-0.14,-0.19,-0.11,-0.09,-0.38,1.27,87.0,57.0,51.0,50.0,34.0,42.0,89.0,65.0,76.0,100.0,43.0,43.0,22.0,12.0,13.0,100.0,66.0,67.0,39.0,79.0,87.0,19.0,54.0,100.0,26.0,29.0,32.0,15788.09476,15118.60095,13707.272,4.5,4.5,4.75,9000.0,9000.0,9000.0,0.3,0.5,0.6,0.02,0.185202592,0.041666667,0.285756306,0.083333333,0.015275252,0.183333333,0.128478273,0.173333333,0.115036226,0.145,0.096488341,0.113333333,0.482735262,0.028333333,0.357402667,-0.323333333,0.210792157,0.5,0.983178519,-9.0,-0.103448276,-8.0,-0.16,10.0,0.112359551,-21.0,-0.21,-3.0,-0.136363636,-14.0,-0.14,1.0,0.025641026,-3.0,-0.157894737,1.0,0.038461538,30.0,0.526315789,6.0,0.117647059,14.0,0.378378378,16.0,0.470588235,-8.0,-0.19047619,7.0,0.2,24.0,0.369230769,-11.0,-0.144736842,22.0,0.407407407,57.0,1.090909091,0.0,0.0,0.0,0.0,10.0,0.833333333,-1.0,-0.076923077,3.0,0.3,34.0,0.515151515,-1.0,-0.014925373,20.0,0.425531915,-40.0,-0.506329114,-8.0,-0.091954023,-13.0,-0.13,-35.0,-0.648148148,-40.31,-0.46,21.0,0.265822785,-3.0,-0.103448276,-3.0,-0.09375,-4.0,-0.111111111,0,0,0,0,0.21,0.07,0.06,0.67,-0.5
2020-06-01,bandung,6,1.22e-16,-1.0,1.43,0.0,0.34,70,36,100,60,14,86,46.0,24.0,39.0,14124.97524,4.25,9000,-0.2,0,0,0.0,1,0,0,0,0,0,0.21,-0.16,0.01,0.07,0.08,0.1,0.06,0.17,0.29,0.67,-0.14,-0.19,-0.5,-0.09,-0.38,78.0,87.0,57.0,42.0,50.0,34.0,99.0,89.0,65.0,79.0,100.0,43.0,19.0,22.0,12.0,86.0,100.0,66.0,40.0,39.0,79.0,16.0,19.0,54.0,27.0,26.0,29.0,14831.66,15788.09476,15118.60095,4.5,4.5,4.5,9000.0,9000.0,9000.0,0.0,0.3,0.5,0.11,0.236431808,0.041666667,0.285756306,0.11,0.060827625,0.183333333,0.128478273,0.083333333,0.077674535,0.145,0.096488341,0.25,0.405832478,0.028333333,0.357402667,0.06,0.648151217,0.5,0.983178519,-8.0,-0.102564103,-6.0,-0.142857143,1.0,0.01010101,-19.0,-0.240506329,-5.0,-0.263157895,0.0,0.0,6.0,0.15,8.0,0.5,12.0,0.444444444,-9.0,-0.103448276,30.0,0.526315789,6.0,0.117647059,-8.0,-0.16,16.0,0.470588235,-8.0,-0.19047619,10.0,0.112359551,24.0,0.369230769,-11.0,-0.144736842,-21.0,-0.21,57.0,1.090909091,0.0,0.0,-3.0,-0.136363636,10.0,0.833333333,-1.0,-0.076923077,-14.0,-0.14,34.0,0.515151515,-1.0,-0.014925373,1.0,0.025641026,-40.0,-0.506329114,-8.0,-0.091954023,-3.0,-0.157894737,-35.0,-0.648148148,-40.31,-0.46,1.0,0.038461538,-3.0,-0.103448276,-3.0,-0.09375,0,0,0,0,0.28,0.18,0.02,0.22,0.77
2020-07-01,bandung,7,-0.5,-0.866025404,-0.81,0.0,0.12,37,27,66,50,10,63,45.0,21.0,28.0,14509.49909,4.0,9000,-0.4,0,0,0.0,1,0,0,0,0,0,0.28,0.21,-0.16,0.18,0.07,0.08,0.02,0.06,0.17,0.22,0.67,-0.14,0.77,-0.5,-0.09,70.0,78.0,87.0,36.0,42.0,50.0,100.0,99.0,89.0,60.0,79.0,100.0,14.0,19.0,22.0,86.0,86.0,100.0,46.0,40.0,39.0,24.0,16.0,19.0,39.0,27.0,26.0,14124.97524,14831.66,15788.09476,4.25,4.5,4.5,9000.0,9000.0,9000.0,-0.2,0.0,0.3,0.026666667,0.379780638,0.041666667,0.285756306,0.05,0.14106736,0.101666667,0.12655697,0.08,0.072111026,0.14,0.094445752,0.273333333,0.372871738,0.063333333,0.330434058,-0.306666667,0.994199846,-0.02,0.896883493,-33.0,-0.471428571,-9.0,-0.25,-32.62,-0.34,-10.0,-0.166666667,-4.0,-0.285714286,-23.0,-0.26744186,-1.0,-0.02173913,-3.0,-0.125,-11.0,-0.282051282,-8.0,-0.102564103,-9.0,-0.103448276,30.0,0.526315789,-6.0,-0.142857143,-8.0,-0.16,16.0,0.470588235,1.0,0.01010101,10.0,0.112359551,24.0,0.369230769,-19.0,-0.240506329,-21.0,-0.21,57.0,1.090909091,-5.0,-0.263157895,-3.0,-0.136363636,10.0,0.833333333,0.0,0.0,-14.0,-0.14,34.0,0.515151515,6.0,0.15,1.0,0.025641026,-40.0,-0.506329114,8.0,0.5,-3.0,-0.157894737,-35.0,-0.648148148,12.0,0.444444444,1.0,0.038461538,-3.0,-0.103448276,0,0,0,0,-0.41,-0.1,0.16,-0.07,-1.19
2020-08-01,bandung,8,-0.866025404,-0.5,-1.26,-0.02,0.03,32,21,53,40,9,52,50.0,24.0,25.0,14650.88,4.0,9000,-0.5,0,0,0.0,1,0,0,1,0,0,-0.41,0.28,0.21,-0.1,0.18,0.07,0.16,0.02,0.06,-0.07,0.22,0.67,-1.19,0.77,-0.5,37.0,70.0,78.0,27.0,36.0,42.0,66.0,100.0,99.0,50.0,60.0,79.0,10.0,14.0,19.0,63.0,86.0,86.0,45.0,46.0,40.0,21.0,24.0,16.0,28.0,39.0,27.0,14509.49909,14124.97524,14831.66,4.0,4.25,4.5,9000.0,9000.0,9000.0,-0.4,-0.2,0.0,-0.02,0.353694784,9.25e-18,0.253456111,0.01,0.149331845,0.046666667,0.103085725,0.156666667,0.135030861,0.165,0.112561095,0.043333333,0.155026879,0.078333333,0.322949945,-0.62,1.210247908,-0.471666667,0.793761089,-5.0,-0.135135135,-6.0,-0.222222222,-13.0,-0.196969697,-10.0,-0.2,-1.0,-0.1,-11.0,-0.174603175,5.0,0.111111111,3.0,0.142857143,-3.0,-0.107142857,-33.0,-0.471428571,-8.0,-0.102564103,-9.0,-0.103448276,-9.0,-0.25,-6.0,-0.142857143,-8.0,-0.16,-32.62,-0.34,1.0,0.01010101,10.0,0.112359551,-10.0,-0.166666667,-19.0,-0.240506329,-21.0,-0.21,-4.0,-0.285714286,-5.0,-0.263157895,-3.0,-0.136363636,-23.0,-0.26744186,0.0,0.0,-14.0,-0.14,-1.0,-0.02173913,6.0,0.15,1.0,0.025641026,-3.0,-0.125,8.0,0.5,-3.0,-0.157894737,-11.0,-0.282051282,12.0,0.444444444,1.0,0.038461538,0,0,0,0,0.07,-0.05,0.29,-0.02,-1.44
2020-09-01,bandung,9,-1.0,-1.84e-16,-0.32,0.0,-0.01,41,21,55,36,11,42,39.0,17.0,25.0,14773.71682,4.0,9000,-0.8,0,0,0.0,1,0,0,1,0,0,0.07,-0.41,0.28,-0.05,-0.1,0.18,0.29,0.16,0.02,-0.02,-0.07,0.22,-1.44,-1.19,0.77,32.0,37.0,70.0,21.0,27.0,36.0,53.0,66.0,100.0,40.0,50.0,60.0,9.0,10.0,14.0,52.0,63.0,86.0,50.0,45.0,46.0,24.0,21.0,24.0,25.0,28.0,39.0,14650.88,14509.49909,14124.97524,4.0,4.0,4.25,9000.0,9000.0,9000.0,-0.5,-0.4,-0.2,-0.173333333,0.240069434,-0.031666667,0.263622204,-0.066666667,0.028867513,0.021666667,0.105719755,0.193333333,0.085049005,0.138333333,0.094533945,-0.093333333,0.087368949,0.078333333,0.322949945,-1.076666667,0.431315816,-0.508333333,0.793761089,9.0,0.28125,0.0,0.0,2.0,0.037735849,-4.0,-0.1,2.0,0.222222222,-10.0,-0.192307692,-11.0,-0.22,-7.0,-0.291666667,0.0,0.0,-5.0,-0.135135135,-33.0,-0.471428571,-8.0,-0.102564103,-6.0,-0.222222222,-9.0,-0.25,-6.0,-0.142857143,-13.0,-0.196969697,-32.62,-0.34,1.0,0.01010101,-10.0,-0.2,-10.0,-0.166666667,-19.0,-0.240506329,-1.0,-0.1,-4.0,-0.285714286,-5.0,-0.263157895,-11.0,-0.174603175,-23.0,-0.26744186,0.0,0.0,5.0,0.111111111,-1.0,-0.02173913,6.0,0.15,3.0,0.142857143,-3.0,-0.125,8.0,0.5,-3.0,-0.107142857,-11.0,-0.282051282,12.0,0.444444444,0,0,0,0,-0.18,-0.05,0.13,-0.19,-0.6
2020-10-01,bandung,10,-0.866025404,0.5,-0.1,-0.05,0.1,39,22,64,39,11,43,51.0,22.0,20.0,14675.39227,4.0,9000,-1.1,0,0,0.0,0,0,0,1,0,0,-0.18,0.07,-0.41,-0.05,-0.05,-0.1,0.13,0.29,0.16,-0.19,-0.02,-0.07,-0.6,-1.44,-1.19,41.0,32.0,37.0,21.0,21.0,27.0,55.0,53.0,66.0,36.0,40.0,50.0,11.0,9.0,10.0,42.0,52.0,63.0,39.0,50.0,45.0,17.0,24.0,21.0,25.0,25.0,28.0,14773.71682,14650.88,14509.49909,4.0,4.0,4.0,9000.0,9000.0,9000.0,-0.8,-0.5,-0.4,-0.043333333,0.126622799,-0.008333333,0.256079415,-0.01,0.069282032,0.02,0.104690019,0.153333333,0.126622799,0.116666667,0.100531919,-0.12,0.088881944,0.076666667,0.32432494,-0.546666667,0.921158691,-0.426666667,0.867217773,-2.0,-0.048780488,1.0,0.047619048,9.0,0.163636364,3.0,0.083333333,0.0,0.0,1.0,0.023809524,12.0,0.307692308,5.0,0.294117647,-5.0,-0.2,9.0,0.28125,-5.0,-0.135135135,-33.0,-0.471428571,0.0,0.0,-6.0,-0.222222222,-9.0,-0.25,2.0,0.037735849,-13.0,-0.196969697,-32.62,-0.34,-4.0,-0.1,-10.0,-0.2,-10.0,-0.166666667,2.0,0.222222222,-1.0,-0.1,-4.0,-0.285714286,-10.0,-0.192307692,-11.0,-0.174603175,-23.0,-0.26744186,-11.0,-0.22,5.0,0.111111111,-1.0,-0.02173913,-7.0,-0.291666667,3.0,0.142857143,-3.0,-0.125,0.0,0.0,-3.0,-0.107142857,-11.0,-0.282051282,0,0,0,0,-0.02,0.07,0.04,-0.15,0.4
2020-11-01,bandung,11,-0.5,0.866025404,1.01,-0.06,0.03,41,37,66,52,12,44,65.0,29.0,25.0,14165.6281,3.75,9000,-1.2,0,0,0.0,0,1,0,1,0,0,-0.02,-0.18,0.07,0.07,-0.05,-0.05,0.04,0.13,0.29,-0.15,-0.19,-0.02,0.4,-0.6,-1.44,39.0,41.0,32.0,22.0,21.0,21.0,64.0,55.0,53.0,39.0,36.0,40.0,11.0,11.0,9.0,43.0,42.0,52.0,51.0,39.0,50.0,22.0,17.0,24.0,20.0,25.0,25.0,14675.39227,14773.71682,14650.88,4.0,4.0,4.0,9000.0,9000.0,9000.0,-1.1,-0.8,-0.5,9.25e-18,0.19078784,-0.01,0.254401258,0.1,0.167032931,0.055,0.15003333,0.076666667,0.047258156,0.116666667,0.100531919,-0.06,0.191572441,-0.008333333,0.165821189,0.37,0.955353338,-0.125,1.115791199,2.0,0.051282051,15.0,0.681818182,2.0,0.03125,13.0,0.333333333,1.0,0.090909091,1.0,0.023255814,14.0,0.274509804,7.0,0.318181818,5.0,0.25,-2.0,-0.048780488,9.0,0.28125,-5.0,-0.135135135,1.0,0.047619048,0.0,0.0,-6.0,-0.222222222,9.0,0.163636364,2.0,0.037735849,-13.0,-0.196969697,3.0,0.083333333,-4.0,-0.1,-10.0,-0.2,0.0,0.0,2.0,0.222222222,-1.0,-0.1,1.0,0.023809524,-10.0,-0.192307692,-11.0,-0.174603175,12.0,0.307692308,-11.0,-0.22,5.0,0.111111111,5.0,0.294117647,-7.0,-0.291666667,3.0,0.142857143,-5.0,-0.2,0.0,0.0,-3.0,-0.107142857,0,0,0,0,0.2,0.28,0.06,0.16,1.31
2020-12-01,bandung,12,-2.45e-16,1.0,1.45,0.01,0.11,43,34,79,84,12,49,58.0,24.0,25.0,14102.22304,3.75,9000,-1.1,0,0,0.0,0,1,0,1,0,0,0.2,-0.02,-0.18,0.28,0.07,-0.05,0.06,0.04,0.13,0.16,-0.15,-0.19,1.31,0.4,-0.6,41.0,39.0,41.0,37.0,22.0,21.0,66.0,64.0,55.0,52.0,39.0,36.0,12.0,11.0,11.0,44.0,43.0,42.0,65.0,51.0,39.0,29.0,22.0,17.0,25.0,20.0,25.0,14165.6281,14675.39227,14773.71682,3.75,4.0,4.0,9000.0,9000.0,9000.0,-1.2,-1.1,-0.8,0.226666667,0.261023626,0.026666667,0.31353894,0.266666667,0.190350554,0.1,0.219453868,0.05,0.01,0.121666667,0.095376447,0.12,0.252388589,0.013333333,0.20539393,1.293333333,0.885117695,0.108333333,1.439741875,2.0,0.048780488,-3.0,-0.081081081,13.0,0.196969697,32.0,0.615384615,0.0,0.0,5.0,0.113636364,-7.0,-0.107692308,-5.0,-0.172413793,0.0,0.0,2.0,0.051282051,-2.0,-0.048780488,9.0,0.28125,15.0,0.681818182,1.0,0.047619048,0.0,0.0,2.0,0.03125,9.0,0.163636364,2.0,0.037735849,13.0,0.333333333,3.0,0.083333333,-4.0,-0.1,1.0,0.090909091,0.0,0.0,2.0,0.222222222,1.0,0.023255814,1.0,0.023809524,-10.0,-0.192307692,14.0,0.274509804,12.0,0.307692308,-11.0,-0.22,7.0,0.318181818,5.0,0.294117647,-7.0,-0.291666667,5.0,0.25,-5.0,-0.2,0.0,0.0,0,0,0,0,0.5,0.45,0.05,0.35,2.17
