90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,106.3,106.39,107.37,107.9,107.98,108.09,108.09,108.7,109.01,110.36,110.27,110.26,-,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.22,-,116.98,116.36,118.26,120.55,120.62,121.14,121,120.74,121.25,127.95,127.54,126.94,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.13,103.8,105.59,105.81,106.03,106.03,106.12,108.13,108.76,108.76,108.76,109.06,-
KOTA BANDA ACEH,105.16,105.92,107.99,108.22,108.24,108.29,108.85,110.22,110.25,110.3,110.29,110.35,-,105.11,106.51,107.98,107.98,107.98,107.98,107.98,109.43,109.43,109.43,109.43,109.43,-,120.73,120.76,122.21,124.55,124.72,125.35,124.9,124.17,124.54,125.19,125.13,125.79,-,100,100,100,100,100,100,100,100,100,100,100,100,-,102.53,102.53,106.48,106.61,106.65,106.65,108.68,110.83,110.83,110.83,110.83,110.83,-
KOTA LHOKSEUMAWE,103.41,103.79,103.79,104.72,104.84,104.75,104.92,105.31,105.63,105.72,105.76,105.87,-,101.4,101.4,101.4,101.48,101.48,101.48,101.48,101.48,102.02,102.04,102.04,102.04,-,112.4,113.41,113.41,114.62,115.09,114.64,114.36,114.36,114.35,114.74,114.95,115.55,-,100,100,100,100,100,100,100,100,100,100,100,100,-,101.28,102.17,102.17,105.28,105.41,105.41,106.46,108.28,108.41,108.41,108.41,108.41,-
KOTA SIBOLGA,101.5,101.71,101.71,101.72,101.75,101.85,102.88,104.98,103.54,103.54,103.71,103.71,-,103.15,103.15,103.15,103.15,103.15,103.39,103.93,104.22,104.22,104.22,104.66,104.66,-,109.27,109.44,109.44,109.6,110.17,110.33,113.3,113.3,113.14,113.14,113.14,113.14,-,100,100,100,100,100,100,100,100,100,100,100,100,-,99.47,100.04,100.04,100.04,100.04,100.04,101.98,107.73,103.6,103.6,103.6,103.6,-
KOTA PEMATANG SIANTAR,101.43,101.55,101.83,102.62,103.1,103.11,103.1,103.32,103.49,103.65,103.66,103.7,-,103.6,103.6,103.6,106,106,106,106,106.78,107.43,108.04,108.04,108.43,-,110.33,110.37,110.37,110.09,110.8,110.93,110.57,110.57,110.51,110.55,110.55,109.49,-,100,100,100,100,100,100,100,100,100,100,100,100,-,98.44,98.73,99.43,99.91,100.89,100.9,100.96,101.01,101.01,101.01,101.05,101.17,-
KOTA MEDAN,103.31,103.61,103.65,103.82,103.84,103.86,104.1,104.23,104.25,104.33,104.33,104.4,-,104.81,105.27,105.27,105.38,105.38,105.38,105.68,105.68,105.68,105.68,105.68,105.8,-,108.47,108.6,108.77,109.66,109.81,109.81,109.85,109.85,109.87,109.87,109.87,109.79,-,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,-,99.96,100.14,100.25,100.37,100.43,100.49,100.79,101.32,101.4,101.7,101.72,101.75,-
KOTA PADANGSIDIMPUAN,101.08,101.4,101.75,103.25,103.49,104.31,104.98,105.51,105.58,105.01,104.95,104.59,-,104.38,106.85,106.85,110.37,110.37,110.37,110.37,110.37,110.37,110.37,110.37,110.37,-,107.08,110.18,110.18,111.36,112.23,112.29,112.29,112.16,112.46,112.34,112.34,112.39,-,102.09,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,-,95.55,92.61,93.45,93.88,94.05,95.98,97.61,98.95,98.98,97.67,97.52,96.63,-
KOTA GUNUNGSITOLI,102.58,104.63,105.07,105.9,106.11,107.38,110.13,110.93,111.02,111.02,111.16,111.16,-,107.12,109.94,111.41,111.44,111.44,115.37,115.37,115.37,115.37,115.37,116.2,116.2,-,108.8,109.49,109.49,109.49,109.49,110.59,112.42,112.42,112.88,112.88,112.86,112.86,-,100,100,100,100,100,100,100,100,100,100,100,100,-,99.02,101.83,102.19,103.83,104.25,104.94,109.69,111.29,111.29,111.29,111.29,111.29,-
KOTA PADANG,103.72,104.75,104.94,105.69,106.01,106.15,106.42,106.53,106.43,106.46,106.4,106.52,-,101.91,101.91,102.4,102.64,102.65,102.89,103.8,103.8,103.8,103.8,103.83,103.94,-,106.28,106.24,106.11,107.04,108.61,109.05,109.34,109.34,108.99,109.12,109.54,109.39,-,101.92,105.29,105.29,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,-,104.16,105.2,105.5,105.7,105.7,105.7,105.75,106.02,105.95,105.95,105.59,105.9,-
KOTA BUKITTINGGI,103.44,103.72,104.22,104.59,104.64,104.64,104.89,104.96,105.09,105.22,105.53,105.53,-,104.47,104.81,105.33,105.74,105.74,105.74,106.05,106.05,106.05,106.05,106.45,106.45,-,112.03,112.13,112.86,114.36,115.33,115.36,116.03,116.48,117.82,117.99,117.97,118.03,-,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,-,99.55,99.76,100.22,100.33,100.33,100.33,100.36,100.56,100.79,101.23,101.4,101.4,-
TEMBILAHAN,107.09,106.72,106.79,107.53,107.82,108.05,107.96,107.9,108.1,108.31,108.18,108.26,-,108.73,108.73,108.73,108.73,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,-,112.36,111.23,111.58,113.39,112.83,113.51,113.03,112.5,112.66,113.52,113.27,113.7,-,158.85,158.85,158.85,158.85,158.85,158.85,158.85,158.85,158.85,158.85,158.85,158.85,-,97.02,96.85,96.76,97.49,97.73,97.89,98.01,98.28,98.75,98.68,98.47,98.37,-
KOTA PEKANBARU,103.7,103.14,103.33,103.75,103.86,103.97,104.44,104.83,104.9,104.91,105.15,105.17,-,104.17,104.17,104.45,104.57,104.67,104.67,104.91,104.91,104.91,104.91,105.22,105.22,-,109.24,108.98,109,111.79,111.12,111.63,111.96,111.82,111.96,112,111.98,111.9,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100.49,98.56,98.66,98.68,99.16,99.32,100.37,101.86,102.05,102.05,102.29,102.4,-
KOTA DUMAI,100.21,100.25,100.27,100.94,100.97,100.99,101.15,101.31,102.06,102.43,102.58,102.58,-,100.25,100.26,100.26,100.26,100.26,100.26,100.26,100.26,100.57,100.57,100.85,100.85,-,104.01,104.26,104.34,107.73,107.69,107.66,108.45,108.99,108.99,109.28,109.45,109.45,-,100,100,100,100,100,100,100,100,110.87,115.05,115.05,115.05,-,98.21,98.21,98.21,98.53,98.64,98.7,98.79,99.01,98.33,98.33,98.33,98.33,-
BUNGO,103.61,103.66,104.38,105.44,105.81,105.79,105.83,106.1,106.47,106.78,106.99,106.99,-,102.31,102.31,102.65,102.65,102.65,102.65,102.65,102.65,102.65,102.65,103.07,103.07,-,106.8,107.28,107.63,109.96,111.27,111.78,111.27,111.28,112.02,113.04,113.32,113.35,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.89,103.79,105.21,106.88,107.21,106.88,107.28,108.01,108.64,108.95,108.93,108.93,-
KOTA JAMBI,107.25,107.35,108.53,109.39,109.74,109.64,110.27,111.39,111.39,111.34,111.42,111.41,-,101.41,101.52,101.68,101.86,101.86,101.86,101.86,101.99,101.99,101.99,101.99,101.99,-,111.82,112.05,112.33,113.45,114.75,114.36,113.84,113.78,113.78,113.58,113.91,113.85,-,126.48,126.48,126.48,126.48,126.48,126.48,126.48,126.48,126.48,126.48,126.48,126.48,-,103.33,103.33,106.79,108.48,108.5,108.5,111.03,114.61,114.61,114.61,114.61,114.61,-
KOTA PALEMBANG,106.08,106.19,106.7,106.85,106.93,106.99,107.08,107.13,107.33,107.41,107.44,107.35,-,108.97,108.97,108.97,108.97,108.97,108.97,108.97,108.97,108.97,108.97,108.97,108.97,-,106.73,106.58,106.79,107.27,107.71,107.99,108.14,108.03,109,109.4,109.73,109.73,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.48,104.07,106.18,106.38,106.38,106.38,106.62,106.96,106.96,106.96,106.83,106.44,-
KOTA LUBUKLINGGAU,104.48,104.66,104.81,105.29,105.71,105.55,105.78,105.73,105.72,106.13,106.53,106.91,-,104.74,105.73,106.12,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,-,106.88,106.98,107.01,107.53,108.52,108.53,109.13,108.78,108.94,110.15,111,111.94,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.09,102.87,103.02,103.17,103.44,102.98,103.06,103.25,103.08,103.11,103.43,103.63,-
KOTA BENGKULU,105.61,105.09,104.93,105.27,105.65,105.75,105.6,105.65,105.44,106,106.3,106.38,-,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,100.81,-,115.22,114.67,114.53,115.25,116.46,116.98,116.88,116.81,116.16,117.55,118.21,118.47,-,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,102.29,103.54,104.49,104.49,-,101.32,100.25,99.91,100.27,100.27,100.08,99.73,99.92,99.92,99.92,99.92,99.92,-
KOTA BANDAR LAMPUNG,102.65,102.63,102.65,102.66,102.7,102.81,103.01,103.18,103.79,103.79,104.16,104.11,-,102.43,102.43,102.43,102.43,102.43,102.49,102.49,102.49,103.78,103.78,103.78,103.78,-,108.27,108.14,108.14,108.14,108.38,108.89,109.59,110.25,109.91,109.91,112.1,111.8,-,100,100,100,100,100,100,100,100,100,100,100,100,-,99.99,99.99,100.08,100.09,100.09,100.09,100.39,100.61,100.61,100.61,100.61,100.61,-
KOTA METRO,103.3,102.91,103.29,103.99,104.14,104.15,104.66,104.75,105.36,105.29,105.17,104.93,-,101.34,101.34,101.34,101.34,101.34,101.34,101.34,101.34,101.34,101.34,101.34,101.34,-,107.63,106.77,107.18,108.81,109.21,109.23,110.36,110.3,111.44,111.25,110.94,110.31,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100.49,100.36,100.84,101.01,101.01,101.01,101.17,101.4,101.77,101.77,101.77,101.77,-
TANJUNG PANDAN,105.27,105.23,105.8,106.55,106.9,106.94,107.53,107.69,107.89,108.08,108.15,108.18,-,105.15,105.15,105.15,105.15,105.83,105.83,105.83,105.83,105.83,105.83,105.83,105.83,-,110.54,111.25,111.74,112.61,113.31,113.52,113.62,113.62,114.19,114.19,114.57,114.7,-,100,100,100,100,100,100,100,100,100,100,100,100,-,103.7,103.39,104.4,105.67,105.69,105.7,106.89,107.22,107.43,107.84,107.85,107.88,-
KOTA PANGKAL PINANG,103.95,104.23,106.44,107.23,107.39,107.76,108.52,109.05,109.22,109.4,109.42,109.39,-,100.73,100.95,104.21,104.21,104.21,104.21,104.21,104.21,104.21,104.21,104.21,104.21,-,112.02,113.38,114.34,118.18,118.18,118.62,118.62,119.1,119.67,120.18,120.22,120.04,-,100,100,100,100,100,100,100,100,100,100,100,100,-,104.37,104.24,105.8,106.19,106.62,107.44,109.5,110.74,110.94,111.19,111.23,111.23,-
KOTA BATAM,101.15,101.23,101.39,101.64,101.67,101.72,101.85,102.11,102.23,102.87,102.87,102.87,-,101.22,101.22,101.22,101.49,101.53,101.53,101.53,102.07,102.07,103.69,103.69,103.69,-,101.42,101.92,101.92,102.15,102.21,102.52,102.52,102.52,103.28,103.28,103.28,103.28,-,100,100,100,100,100,100,100,100,100,100,100,100,-,101.46,101.46,101.98,102.34,102.34,102.34,102.77,102.92,102.92,102.92,102.92,102.92,-
KOTA TANJUNG PINANG,101.41,101.58,102.18,102.44,102.44,102.45,103.08,103.57,103.57,104.09,104.09,104.27,-,100.68,101.05,101.05,101.41,101.41,101.41,101.41,102.1,102.1,103.35,103.35,103.35,-,108.8,108.85,110.59,110.98,110.98,110.98,111.94,111.94,111.94,111.84,111.84,112.09,-,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,-,99.12,99.12,100.11,100.23,100.23,100.26,101.68,102.25,102.25,102.25,102.25,102.67,-
DKI JAKARTA,103.79,103.87,104.21,104.39,104.44,104.5,105.08,106.2,106.32,106.45,106.56,107.45,-,106.49,106.54,106.63,106.74,106.74,106.74,107.08,108.35,108.35,108.35,108.48,110.1,-,100.04,100.23,100.23,100.37,100.64,100.64,100.64,100.64,100.64,100.69,100.67,100.67,-,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,-,101.06,101.17,102.35,102.78,102.85,103.09,104.69,106.43,106.9,107.42,107.57,107.62,-
KOTA BOGOR,103.03,103.18,103.86,103.86,104.16,104.7,105.38,105.81,105.95,106.06,106.29,106.34,-,103.49,103.61,103.61,103.61,103.61,104.36,104.36,104.53,104.53,104.72,104.72,104.72,-,105.01,105.07,105.07,105.07,105.37,105.64,106.11,106.62,108.03,108.06,108.73,108.73,-,100,100,100,100,100,100,100,100,100,100,100,100,-,102.54,102.89,105.69,105.69,106.84,107.24,109.86,111.06,111.06,111.06,111.75,111.98,-
KOTA SUKABUMI,105.36,107.34,108.26,108.36,108.36,108.76,109.1,109.82,109.82,110.07,110.09,110.1,-,104.35,104.35,104.35,104.35,104.35,104.35,104.35,105.05,105.05,105.05,105.05,105.05,-,111.9,118.65,119.52,119.52,119.52,121.15,121.34,121.34,121.34,122.29,122.33,122.35,-,100,100,100,100,100,100,100,100,100,100,100,100,-,102.58,103.53,105.88,106.21,106.21,106.21,107.18,108.71,108.71,108.76,108.8,108.8,-
KOTA BANDUNG,105.25,105.79,106.39,106.48,106.5,106.88,107.63,108.15,108.24,109.01,109.05,116.5,-,104.15,104.58,104.78,104.78,104.78,105.62,105.63,106.21,106.33,106.42,106.42,106.42,-,107.36,107.84,107.84,108.06,108.17,108.26,108.65,108.91,109.07,112.59,112.76,112.76,-,114.79,114.79,114.79,114.79,114.79,114.79,114.79,114.79,114.79,114.79,114.79,186.07,-,101.44,102.45,104.46,104.67,104.62,104.63,107.27,108.12,108.12,108.12,108.12,108.12,-
KOTA CIREBON,101.4,101.4,101.74,101.87,101.91,101.92,102.19,102.39,102.39,102.67,102.67,102.38,-,100.63,100.63,100.63,100.63,100.63,100.63,100.63,100.71,100.71,100.71,100.71,100.71,-,107.43,107.43,107.43,107.43,107.71,107.81,108.69,108.69,108.69,110.66,110.66,110.66,-,100.66,100.66,100.66,100.66,100.66,100.66,100.66,100.66,100.66,100.66,100.66,100.66,-,100,100,101.16,101.62,101.62,101.62,102.12,102.71,102.71,102.73,102.73,101.71,-
KOTA BEKASI,104.74,105.22,105.37,105.81,105.8,105.81,106.53,107,107.26,107.3,107.3,107.31,-,102.27,103.3,103.3,103.3,103.3,103.3,103.37,103.37,103.37,103.37,103.37,103.37,-,112.06,112.61,112.61,112.61,112.57,112.57,112.57,112.57,112.57,112.79,112.8,112.87,-,100.31,100.31,100.31,100.31,100.31,100.31,100.31,100.31,100.31,100.31,100.31,100.31,-,105.19,105.19,105.7,107.17,107.17,107.2,109.57,111.13,112,112,112,112,-
KOTA DEPOK,103.79,105.04,107.09,107.32,107.32,107.38,108.31,108.65,108.68,109.27,109.34,109.32,-,104.84,104.86,104.86,104.86,104.86,104.86,104.86,104.86,104.86,104.86,104.88,104.88,-,108.91,108.91,109.59,111.16,111.2,111.68,111.67,111.68,111.96,115.86,115.86,115.71,-,100,100,100,100,100,100,100,100,100,100,100,100,-,101.19,105.13,111.36,111.54,111.54,111.54,114.48,115.58,115.58,116.08,116.24,116.24,-
KOTA TASIKMALAYA,102.02,103.22,104.02,104.36,104.61,104.66,105.38,105.74,105.99,105.94,105.82,105.84,-,100.79,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,101.23,-,108.11,107.66,107.97,108.85,109.34,109.51,110.43,110.48,111.62,111.27,110.81,111.06,-,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,102.51,-,100.58,104.74,107.74,108.5,109.19,109.28,111.58,112.97,113.22,113.25,113.06,113,-
CILACAP,102.01,102.32,102.57,102.66,102.76,102.81,102.91,102.99,103.09,103.74,103.85,103.91,-,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,108.94,108.94,-,104.88,105,105.64,105.91,106.22,106.37,106.51,106.7,106.81,107.14,107.3,107.48,-,100.21,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,-,99.99,99.99,100.08,100.08,100.08,100.08,100.2,100.24,100.38,101.47,101.47,101.47,-
PURWOKERTO,106.6,107.36,108.26,108.6,108.97,109.07,109.44,109.94,110.01,110.18,110.24,110.28,-,104.92,104.92,104.92,104.92,104.92,104.92,104.92,104.92,105.3,105.3,105.3,105.3,-,110.86,110.51,110.67,111.32,112.35,112.61,112.69,111.97,112.09,112.56,112.72,112.77,-,111.08,117.89,117.89,117.89,117.89,117.89,117.89,122.22,122.22,122.22,122.22,122.22,-,102.08,102.13,104.07,104.31,104.31,104.31,105.09,105.57,105.57,105.57,105.57,105.63,-
KUDUS,105,105.16,105.33,106.04,106.23,106.5,106.97,107.13,107.94,108.42,108.45,108.48,-,102.61,102.61,102.61,102.61,102.61,102.61,102.87,102.87,102.87,103.23,103.23,103.23,-,111.87,112.32,112.46,113.41,113.78,114.57,115.52,115.67,117.52,117.62,117.68,117.74,-,102.25,102.25,102.25,102.25,102.25,102.25,102.25,102.25,102.25,102.25,102.25,102.25,-,100.98,100.98,101.23,102.05,102.19,102.19,102.46,102.68,103.05,103.96,103.97,104,-
KOTA SURAKARTA,105.52,106.18,106.82,107.17,107.19,107.44,107.8,107.89,107.89,108.09,108.1,108.22,-,103.98,104.36,104.36,104.36,104.36,104.44,104.44,104.44,104.44,104.44,104.44,104.44,-,117.78,120.71,121.05,122.55,122.66,124.03,123.98,123.03,123.15,124.4,124.45,125.24,-,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,-,102.32,102.36,104.77,105.28,105.29,105.29,106.79,107.77,107.71,107.71,107.71,107.71,-
KOTA SEMARANG,106.48,106.49,106.56,106.62,106.65,106.71,106.99,107.4,107.8,107.99,107.77,107.72,-,102.19,102.19,102.19,102.19,102.19,102.19,102.32,102.32,102.85,102.9,102.9,102.9,-,107.05,107.08,107.32,107.65,107.73,108.06,108.76,110.49,111.28,111.94,111.69,111.38,-,139.02,139.05,139.05,139.05,139.21,139.21,139.21,139.21,139.25,139.58,139.58,139.58,-,99.59,99.59,99.72,99.73,99.72,99.72,100.15,100.61,100.67,100.77,100.08,100.08,-
KOTA TEGAL,105.9,105.8,105.89,106.51,106.93,107.17,107.27,107.32,107.32,107.51,107.52,107.52,-,108.31,108.31,108.85,109.98,110.5,110.5,110.5,110.5,110.5,110.79,110.79,110.79,-,109.41,109.43,109.73,110.69,111.69,112.68,113.03,113.05,113.07,113.42,113.44,113.44,-,107.45,107.45,107.45,107.45,107.45,107.45,107.45,107.45,107.45,107.45,107.45,107.45,-,99.76,99.42,98.87,98.88,98.88,98.88,98.95,99.07,99.08,99.08,99.08,99.08,-
KOTA YOGYAKARTA,105.94,107.02,107.42,108.44,108.57,108.76,108.96,109.27,109.28,109.55,109.99,110.28,-,105.93,105.93,105.93,106.59,106.73,106.94,106.94,106.94,106.94,107.06,107.06,107.06,-,112.21,112.4,112.54,113.02,113.33,113.98,114.07,114.23,114.34,115.05,115.39,116.86,-,103.08,104.54,105.43,105.43,105.43,105.43,105.43,105.43,105.43,105.43,105.43,105.43,-,103.89,106.51,107.35,109.23,109.32,109.32,109.85,110.66,110.65,110.94,112.03,112.21,-
JEMBER,105.83,106.09,106.42,106.79,107.25,107.47,108.01,108.54,108.84,109.57,113.38,113.48,-,108.11,108.11,108.11,111.07,113.91,113.91,117.83,120.87,121.12,121.38,121.38,121.38,-,110.53,110.48,111.32,111.64,112.32,113.21,114.07,114.62,115.17,116.1,116.29,116.29,-,115.94,115.94,115.94,115.94,115.94,115.94,115.94,115.94,115.94,115.94,142.85,142.85,-,101.13,101.61,101.86,101.97,102.1,102.12,102.16,102.45,102.72,103.61,103.92,104.11,-
BANYUWANGI,100.87,100.87,100.87,100.81,100.81,102.17,102.73,102.86,103.64,103.89,103.99,103.99,-,101.46,101.46,101.58,101.58,101.58,102.81,102.81,102.81,102.81,102.81,102.81,102.81,-,102.69,102.69,102.69,102.53,102.53,102.53,102.53,102.53,103.62,104.25,104.49,104.49,-,100,100,100,100,100,100,100,100,100,100,100,100,-,99.27,99.27,99.27,99.27,99.27,102.36,103.71,104.03,104.87,104.87,104.87,104.87,-
SUMENEP,105.63,105.85,106.01,106.49,106.54,106.78,106.92,106.96,106.98,106.99,107.18,107.34,-,105.27,105.27,105.28,106.61,106.61,106.66,106.82,107.64,107.78,107.78,107.78,107.78,-,111.75,112.12,112.44,113.2,113.29,113.79,114.02,113.93,113.96,113.97,114.37,114.7,-,100,100,100,100,100,100,100,100,100,100,100,100,-,98.68,98.81,98.81,98.81,98.81,98.81,98.85,98.87,98.87,98.87,98.87,98.87,-
KOTA KEDIRI,103.22,103.32,103.34,103.4,103.43,103.74,104.05,104.32,104.53,104.73,104.73,104.81,-,103.59,103.81,103.81,103.81,103.81,104.08,104.08,104.08,104.37,104.81,104.81,104.81,-,108.31,108.31,108.38,108.38,108.54,109.64,111.13,111.13,111.13,111.15,111.15,111.15,-,102.88,102.88,102.88,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,-,100.02,100.02,100.02,100.02,100.02,100.02,100.2,101.05,101.27,101.27,101.27,101.51,-
